trd,plg,fm
123,0,B
217,0,B
171,0,B
251,0,B
288,0,B
135,0,B
163,0,B
35,0,B
106,0,B
349,0,B
333,0,B
15,0,B
118,0,B
205,0,B
271,0,B
72,0,B
341,0,B
148,0,B
190,0,B
313,0,B
255,0,B
96,0,B
93,0,B
320,0,B
215,0,B
237,0,B
105,0,B
179,0,B
180,0,B
223,0,B
216,0,B
222,0,B
242,0,B
196,0,B
300,0,B
227,0,B
255,0,B
257,0,B
278,0,B
290,0,B
275,0,B
